part_number,name,description,cost_price,sale_price
P-00001,エンジンオイル 5W-30 SN (4L缶),一般的な合成エンジンオイル,3000,4500
P-00002,オイルフィルター,エンジンオイル交換時に使用する標準的なフィルター,800,1500
P-00003,ブレーキパッド フロント,軽自動車・コンパクトカー用フロントブレーキパッド,4500,7000
P-00004,バッテリー 40B19L,軽自動車・コンパクトカー用標準バッテリー,5000,9000
P-00005,エアコンフィルター,車内の空気を清浄するフィルター,1500,3000
P-00006,ワイパーブレード 運転席用 (650mm),標準的な撥水ワイパーブレード,1200,2000
P-00007,スパークプラグ,標準的なイリジウムプラグ,1800,2800
P-00008,タイヤ 155/65R14,軽自動車用エコタイヤ（1本）,4000,6500
P-00009,ブレーキフルード DOT4 (1L),ブレーキオイル交換用,1000,1800
P-00010,LLCスーパーロングライフクーラント(2L),冷却水,1500,2500
